pipeline_id,run_id,timestamp,ci_tool,repository,branch,commit_hash,author,language,os,cloud_provider,build_duration_sec,test_duration_sec,deploy_duration_sec,failure_stage,failure_type,error_code,error_message,severity,cpu_usage_pct,memory_usage_mb,retry_count,is_flaky_test,rollback_triggered,incident_created,result,commit_size,files_changed,warnings,tests_failed,previous_failure_rate
ado-feature-store-nightly-regression,20260619.24,2026-04-28T22:44:00,Azure DevOps,mlops/feature-store,develop,b61ba350873af319212adfadb5dc5a6dfd856d83,akash_mlops,Python,windows-latest,AWS,417,162,137,deploy,Configuration Error,ENV_VAR_MISSING,##[section]Starting: deploy | Agent job on Azure Pipelines | docker compose config | services.api.environment.SECRET_KEY contains an invalid reference; secret was not mounted in runner context,MEDIUM,49.39,5005,0,FALSE,FALSE,FALSE,FAIL,3,7,2,0,0.207
jenkins-e2e-test-suite-release,e2e-test-suite/feature-pagos#22855,2026-04-17T06:51:00,Jenkins,qa/e2e-test-suite,feature/pagos,99568baae90d2f0893079353e02d580f9f454ef2,data_pipeline_bot,C++,ubuntu-latest,Azure,1518,515,503,build,Security Scan Failure,DEPENDABOT_ALERT,[Pipeline] stage(build) | [Pipeline] sh | trivy image --exit-code 1 123456789012.dkr.ecr.us-east-1.amazonaws.com/e2e-test-suite:99568baa | CRITICAL CVE-2024-3116 found in openssl package; fixed version available,CRITICAL,63.87,18770,3,FALSE,FALSE,FALSE,FAIL,62,22,24,0,0.309
gha-analytics-etl-build-test-deploy,118001076740-1,2026-04-25T16:49:00,GitHub Actions,data/analytics-etl,release/2026.07,2d023683742031c29712d7960be4e9ddc2d1533f,data_pipeline_bot,Go,windows-latest,AWS,449,275,81,test,Dependency Error,NPM_ETARGET,Run test job on ubuntu-latest | ##[group]refs/heads/release/2026.07 | pip install -r requirements.txt | ERROR: Cannot install fastapi==0.110.0 and pydantic==1.10.2 because these package versions have conflicting dependencies | Error: Process completed with exit code 1,HIGH,55.9,1040,0,FALSE,FALSE,FALSE,FAIL,11,5,0,0,0.093
circleci-billing-api-security-scan,9e8ff9ec-6682-5f20-8fa4-9cead21c4a5e,2025-12-19T06:58:00,CircleCI,finance/billing-api,bugfix/payment-webhook,abc701170de64d4c390f57460c1e991999612d0f,junior_juan,Java,ubuntu-latest,Azure,560,336,433,None,None,None,CircleCI step ci | working_directory=~/project/billing-api | 2025-12-19 06:58:00 checkout abc70117 | dependencies restored from cache | build and tests completed successfully | warning: 1 non-blocking linter warnings recorded,None,46.32,5396,0,FALSE,FALSE,FALSE,PASS,28,11,1,0,0.046
jenkins-deploypilot-ai-deploy-staging,deploypilot-ai/bugfix-flaky-login-test#30551,2026-05-12T01:32:00,Jenkins,devops/deploypilot-ai,bugfix/flaky-login-test,bb4190851815f62664fa796aa525e364b001004b,nimal_backend,C++,macos-latest,AWS,850,1027,545,build,Network Error,REGISTRY_504,[Pipeline] stage(build) | [Pipeline] sh | apt-get update | Temporary failure resolving archive.ubuntu.com; runner network check failed | script returned exit code 1,HIGH,84.89,5129,3,FALSE,FALSE,TRUE,FAIL,35,11,3,0,0.821
gha-deploypilot-ai-build-test-deploy,118000013523-3,2025-10-04T07:07:00,GitHub Actions,devops/deploypilot-ai,hotfix/urgente,12ec8ff87605ea07e538a2a7ee8ffe1c0296b327,isuru_devops,Java,windows-latest,GCP,447,338,209,None,None,None,Run security-scan job on ubuntu-latest | ##[group]refs/heads/hotfix/urgente | dependency audit completed with no blocking vulnerabilities | status=success | warning: 4 non-blocking linter warnings recorded,None,62,5745,0,FALSE,FALSE,FALSE,PASS,9,13,4,0,0.227
jenkins-ml-training-pipeline-ci,ml-training-pipeline/feature-model-registry#29524,2026-05-01T04:17:00,Jenkins,mlops/ml-training-pipeline,feature/model-registry,b1ccd9c5192afee15c437063659ae62063cf53e9,carlos_dev,Rust,windows-latest,Azure,1422,303,640,build,Permission Error,DOCKER_LOGIN_DENIED,[Pipeline] stage(build) | [Pipeline] sh | kubectl apply -f k8s/deployment.yaml -n ml-staging | Error from server (Forbidden): serviceaccount ci-deployer cannot patch deployments.apps in namespace ml-staging | script returned exit code 1,HIGH,80.28,8663,1,FALSE,FALSE,FALSE,FAIL,36,37,3,0,0.438
jenkins-deploypilot-ai-security-scan,deploypilot-ai/develop#1710,2025-10-08T07:44:00,Jenkins,devops/deploypilot-ai,develop,8aa88140800a074dd0d0a91e9652d06118f01776,devops-bot,NodeJS,windows-latest,On-Prem,904,835,460,None,None,None,[Pipeline] stage(security-scan) | [Pipeline] sh | dependency audit completed with no blocking vulnerabilities | status=success | warning: 4 non-blocking linter warnings recorded,None,46.51,8615,0,FALSE,FALSE,FALSE,PASS,33,27,4,0,0.529
circleci-rag-qa-service-build-test-deploy,3d1363c9-9d17-5f33-ab98-37820af37a6f,2026-04-05T20:03:00,CircleCI,platform-team/rag-qa-service,release/2026.07,f84297517335845f476ed79389a94ba51cc2409d,platform_admin,Python,macos-latest,GCP,1506,931,1156,test,Resource Exhaustion,NODE_HEAP_OUT_OF_MEMORY,CircleCI step test | working_directory=~/project/rag-qa-service | pytest tests/ | worker process was killed by signal 9 (SIGKILL); container memory limit 4096Mi exceeded,CRITICAL,93.09,25654,2,FALSE,FALSE,FALSE,FAIL,54,13,7,0,0.759
circleci-push-notification-worker-deploy-staging,4487a771-7544-582a-94a0-ebaa4692ce0e,2025-10-25T14:01:00,CircleCI,mobile/push-notification-worker,feature/order-events,c32d5b5d7b4ec1931fcfa71097183a21cf2541b0,maria_sre,Rust,ubuntu-latest,AWS,959,307,44,None,None,None,CircleCI step ci | working_directory=~/project/push-notification-worker | 2025-10-25 14:01:00 checkout c32d5b5d | dependencies restored from cache | build and tests completed successfully | warning: 8 non-blocking linter warnings recorded,None,80.98,11867,1,FALSE,FALSE,FALSE,PASS,64,13,8,0,0.604
gitlab-mobile-backend-build-test-deploy,pipeline/1024627/job/2418186,2026-05-07T03:02:00,GitLab CI,mobile/mobile-backend,bugfix/flaky-login-test,53a360f80ffb26b83520780da9ba5dcfb5c87f86,github-actions[bot],NodeJS,windows-latest,Azure,1652,923,401,build,Resource Exhaustion,ENOSPC,Running with gitlab-runner 17.x | stage=build | $ make build | pytest tests/ | worker process was killed by signal 9 (SIGKILL); container memory limit 4096Mi exceeded | ERROR: Job failed: exit code 1,CRITICAL,96.05,11186,3,FALSE,FALSE,FALSE,FAIL,28,5,11,0,0.345
gha-inventory-sync-worker-pr-validation,118000202631-1,2025-11-19T12:54:00,GitHub Actions,ops/inventory-sync-worker,develop,10e99eb2737bdef247f68c4f2e4f76f2f5f6e2c7,nimal_backend,Go,macos-latest,AWS,338,312,466,None,None,None,Run security-scan job on ubuntu-latest | ##[group]refs/heads/develop | dependency audit completed with no blocking vulnerabilities | status=success,None,34.37,5853,1,FALSE,FALSE,FALSE,PASS,19,2,3,0,0.004
jenkins-payment-gateway-service-release,payment-gateway-service/hotfix-urgente#6382,2025-11-19T12:05:00,Jenkins,payments/payment-gateway-service,hotfix/urgente,dbe91349a4ebece8babf8e18044a80a2566974a8,platform_admin,C++,ubuntu-latest,On-Prem,467,230,483,None,None,None,[Pipeline] stage(build) | [Pipeline] sh | artifact payment-gateway-service:dbe91349 published | all required checks passed,None,62.13,4129,0,FALSE,FALSE,FALSE,PASS,22,5,3,0,0.312
jenkins-billing-api-nightly-regression,billing-api/hotfix-urgente#7732,2025-12-01T16:35:00,Jenkins,finance/billing-api,hotfix/urgente,043226e5c27c735d3dc88e8e891e0bc636ccf796,dependabot[bot],C++,ubuntu-latest,On-Prem,312,349,368,None,None,None,[Pipeline] stage(deploy) | [Pipeline] sh | health check passed for https://billing-api.dev.internal.example.com/healthz | deployment marked successful | warning: 4 non-blocking linter warnings recorded,None,14.97,5179,1,FALSE,FALSE,FALSE,PASS,12,13,4,0,0.048
gha-order-fulfillment-service-ci,118000198780-3,2025-11-18T15:05:00,GitHub Actions,commerce/order-fulfillment-service,release/2026.06,da259a9ed2a7eaebd8b4f9663d6790ec40e1a67a,akash_mlops,Python,ubuntu-latest,Azure,503,322,383,None,None,None,Run test job on ubuntu-latest | ##[group]refs/heads/release/2026.06 | Python unit and integration tests passed | coverage report uploaded | no deployment rollback required,None,13.35,3092,0,FALSE,FALSE,FALSE,PASS,7,11,2,0,0.3
gha-deploypilot-ai-nightly-regression,118000211494-2,2025-11-21T17:39:00,GitHub Actions,devops/deploypilot-ai,release/2026.07,0911eaf25468a4367c8e11c6f61ebdf2a5409f12,devops-bot,NodeJS,macos-latest,On-Prem,77,180,173,None,None,None,Run deploy job on ubuntu-latest | ##[group]refs/heads/release/2026.07 | health check passed for https://deploypilot-ai.prod.internal.example.com/healthz | deployment marked successful,None,71.81,5408,0,FALSE,FALSE,FALSE,PASS,29,3,1,0,0.178
