pipeline_id,run_id,timestamp,ci_tool,repository,branch,commit_hash,author,language,os,cloud_provider,build_duration_sec,test_duration_sec,deploy_duration_sec,failure_stage,failure_type,error_code,error_message,severity,cpu_usage_pct,memory_usage_mb,retry_count,is_flaky_test,rollback_triggered,incident_created,result,commit_size,files_changed,warnings,tests_failed,previous_failure_rate
ado-feature-store-nightly-regression,20260619.24,2026-04-28T22:44:00,Azure DevOps,mlops/feature-store,develop,b61ba350873af319212adfadb5dc5a6dfd856d83,akash_mlops,Python,windows-latest,AWS,417,162,137,deploy,Configuration Error,ENV_VAR_MISSING,##[section]Starting: deploy | Agent job on Azure Pipelines | docker compose config | services.api.environment.SECRET_KEY contains an invalid reference; secret was not mounted in runner context,MEDIUM,49.39,5005,0,False,False,False,FAIL,3,7,2,0,0.207
jenkins-e2e-test-suite-release,e2e-test-suite/feature-pagos#22855,2026-04-17T06:51:00,Jenkins,qa/e2e-test-suite,feature/pagos,99568baae90d2f0893079353e02d580f9f454ef2,data_pipeline_bot,C++,ubuntu-latest,Azure,1518,515,503,build,Security Scan Failure,DEPENDABOT_ALERT,[Pipeline] stage(build) | [Pipeline] sh | trivy image --exit-code 1 123456789012.dkr.ecr.us-east-1.amazonaws.com/e2e-test-suite:99568baa | CRITICAL CVE-2024-3116 found in openssl package; fixed version available,CRITICAL,63.87,18770,3,False,False,False,FAIL,62,22,24,0,0.309
gha-analytics-etl-build-test-deploy,118001076740-1,2026-04-25T16:49:00,GitHub Actions,data/analytics-etl,release/2026.07,2d023683742031c29712d7960be4e9ddc2d1533f,data_pipeline_bot,Go,windows-latest,AWS,449,275,81,test,Dependency Error,NPM_ETARGET,Run test job on ubuntu-latest | ##[group]refs/heads/release/2026.07 | pip install -r requirements.txt | ERROR: Cannot install fastapi==0.110.0 and pydantic==1.10.2 because these package versions have conflicting dependencies | Error: Process completed with exit code 1,HIGH,55.9,1040,0,False,False,False,FAIL,11,5,0,0,0.093
jenkins-deploypilot-ai-deploy-staging,deploypilot-ai/bugfix-flaky-login-test#30551,2026-05-12T01:32:00,Jenkins,devops/deploypilot-ai,bugfix/flaky-login-test,bb4190851815f62664fa796aa525e364b001004b,nimal_backend,C++,macos-latest,AWS,850,1027,545,build,Network Error,REGISTRY_504,[Pipeline] stage(build) | [Pipeline] sh | apt-get update | Temporary failure resolving archive.ubuntu.com; runner network check failed | script returned exit code 1,HIGH,84.89,5129,3,False,False,True,FAIL,35,11,3,0,0.821
jenkins-ml-training-pipeline-ci,ml-training-pipeline/feature-model-registry#29524,2026-05-01T04:17:00,Jenkins,mlops/ml-training-pipeline,feature/model-registry,b1ccd9c5192afee15c437063659ae62063cf53e9,carlos_dev,Rust,windows-latest,Azure,1422,303,640,build,Permission Error,DOCKER_LOGIN_DENIED,[Pipeline] stage(build) | [Pipeline] sh | kubectl apply -f k8s/deployment.yaml -n ml-staging | Error from server (Forbidden): serviceaccount ci-deployer cannot patch deployments.apps in namespace ml-staging | script returned exit code 1,HIGH,80.28,8663,1,False,False,False,FAIL,36,37,3,0,0.438
circleci-rag-qa-service-build-test-deploy,3d1363c9-9d17-5f33-ab98-37820af37a6f,2026-04-05T20:03:00,CircleCI,platform-team/rag-qa-service,release/2026.07,f84297517335845f476ed79389a94ba51cc2409d,platform_admin,Python,macos-latest,GCP,1506,931,1156,test,Resource Exhaustion,NODE_HEAP_OUT_OF_MEMORY,CircleCI step test | working_directory=~/project/rag-qa-service | pytest tests/ | worker process was killed by signal 9 (SIGKILL); container memory limit 4096Mi exceeded,CRITICAL,93.09,25654,2,False,False,False,FAIL,54,13,7,0,0.759
gitlab-mobile-backend-build-test-deploy,pipeline/1024627/job/2418186,2026-05-07T03:02:00,GitLab CI,mobile/mobile-backend,bugfix/flaky-login-test,53a360f80ffb26b83520780da9ba5dcfb5c87f86,github-actions[bot],NodeJS,windows-latest,Azure,1652,923,401,build,Resource Exhaustion,ENOSPC,Running with gitlab-runner 17.x | stage=build | $ make build | pytest tests/ | worker process was killed by signal 9 (SIGKILL); container memory limit 4096Mi exceeded | ERROR: Job failed: exit code 1,CRITICAL,96.05,11186,3,False,False,False,FAIL,28,5,11,0,0.345
gha-billing-api-release,118001044006-1,2026-05-27T02:24:00,GitHub Actions,finance/billing-api,hotfix/urgent-rollout,528a19b1a840c08860e02cdd588f1a7968f1a511,carlos_dev,NodeJS,ubuntu-latest,Azure,150,729,1087,build,Permission Error,SECRET_NOT_FOUND,Run build job on ubuntu-latest | ##[group]refs/heads/hotfix/urgent-rollout | kubectl apply -f k8s/deployment.yaml -n ml-staging | Error from server (Forbidden): serviceaccount ci-deployer cannot patch deployments.apps in namespace ml-staging | Error: Process completed with exit code 1,CRITICAL,49.13,8511,1,False,False,False,FAIL,41,42,6,0,0.263
gitlab-payment-gateway-service-release,pipeline/1008879/job/2383529,2026-05-21T18:36:00,GitLab CI,payments/payment-gateway-service,ci/cd-proyecto,cbfbb42b85786d840d6cefe30f56de59bec1468f,qa_automation,NodeJS,windows-latest,On-Prem,935,510,522,test,Dependency Error,NPM_ETARGET,Running with gitlab-runner 17.x | stage=test | $ make test | cargo fetch | failed to select a version for `reqwest` required by package payment-gateway-service | ERROR: Job failed: exit code 1,MEDIUM,74.57,15185,3,False,False,False,FAIL,69,5,3,0,0.702
circleci-auth-service-build-test-deploy,1d390a17-dda4-5be3-87f7-05751b80738e,2026-06-07T08:46:00,CircleCI,security/auth-service,release/2026.06,d9d98007ebb872875f90ac541b8437e377478c84,github-actions[bot],Rust,ubuntu-latest,On-Prem,1103,557,0,test,Test Failure,PYTEST_ASSERTION,"CircleCI step test | working_directory=~/project/auth-service | npm test -- --runInBand | FAIL src/payments/controller.spec.ts | Expected mock function to have been called once, received 0 calls",MEDIUM,55.55,18895,0,False,False,False,FAIL,38,2,10,2,0.644
circleci-auth-service-deploy-staging,e47423d9-c079-5635-8a09-2efb496cbf87,2026-05-21T14:11:00,CircleCI,security/auth-service,ci/cd-proyecto,3afcf35211f82351568a5e960b0af05e9ff583d8,data_pipeline_bot,C++,self-hosted-linux,On-Prem,1729,718,560,deploy,Deployment Failure,ROLLBACK_REQUIRED,CircleCI step deploy | working_directory=~/project/auth-service | helm upgrade --install auth-service charts/app -n prod | Error: UPGRADE FAILED: cannot patch Deployment: spec.template.spec.containers[0].image: Invalid value gcr.io/internal-platform/auth-service:3afcf352 | Exited with code 1,CRITICAL,85.88,19670,2,False,True,False,FAIL,60,31,2,0,0.512
ado-auth-service-pr-validation,20260619.29,2026-06-10T08:50:00,Azure DevOps,security/auth-service,develop,96cadfce3dc736e04d95d9f717b1bd0c12fba9c4,dependabot[bot],C++,macos-latest,Azure,1458,190,0,build,Build Failure,MAVEN_COMPILATION_FAILURE,##[section]Starting: build | Agent job on Azure Pipelines | cargo build --release | error[E0432]: unresolved import crate::feature_flags at C:\agent\_work\1\s\src\features\service.cpp:213:76,MEDIUM,60.33,7794,2,False,False,False,FAIL,33,7,14,0,0.812
ado-terraform-infra-pr-validation,20260628.29,2026-05-27T03:35:00,Azure DevOps,infra/terraform-infra,bugfix/payment-webhook,e07ea7af468e2dba6a6e2b1277967d79492e0e45,junior_juan,Go,macos-latest,On-Prem,649,128,709,build,Dependency Error,GO_SUM_MISMATCH,##[section]Starting: build | Agent job on Azure Pipelines | pip install -r requirements.txt | ERROR: Cannot install fastapi==0.110.0 and pydantic==1.10.2 because these package versions have conflicting dependencies | ##[error]Bash exited with code 1,MEDIUM,73.18,16118,0,False,False,False,FAIL,30,13,4,0,0.397
gitlab-e2e-test-suite-build-test-deploy,pipeline/990643/job/2343419,2026-04-18T20:51:00,GitLab CI,qa/e2e-test-suite,dependabot/npm_and_yarn/lodash-4.17.21,39b690f63b27a0b4716a316ddd5c256921669915,github-actions[bot],Go,ubuntu-latest,AWS,682,483,977,build,Dependency Error,GO_SUM_MISMATCH,Running with gitlab-runner 17.x | stage=build | $ make build | mvn dependency:resolve | Could not find artifact com.company:features-client:jar:2.7.14 in internal-nexus (https://nexus.internal.example.com/repository/maven-public),MEDIUM,81.13,8635,0,False,False,False,FAIL,44,2,8,0,0.605
jenkins-payment-gateway-service-pr-validation,payment-gateway-service/release#25603,2026-05-12T03:40:00,Jenkins,payments/payment-gateway-service,release/2026.06,02df7bc7831f2861362140770a7f09305681aefa,release_manager,Java,windows-latest,AWS,707,1426,772,test,Network Error,DNS_EAI_AGAIN,[Pipeline] stage(test) | [Pipeline] sh | apt-get update | Temporary failure resolving archive.ubuntu.com; runner network check failed,MEDIUM,59.39,16280,4,False,False,False,FAIL,20,37,11,0,0.599
